x,m,c,b,f,V,T
3.36,0.000697667456007,0.30270762248,0.657629608054,0.81427642804,8.95632743025e-07,8.95632742576e-07
3.372,0.000676831421461,0.302710982784,0.657633228152,0.814279368396,8.41953054831e-07,8.41953055429e-07
3.384,0.000656617427342,0.302714230539,0.65763672305,0.814282207066,7.91496848174e-07,7.91496847761e-07
3.396,0.00063700691737,0.302717369499,0.657640097081,0.814284947567,7.44070167924e-07,7.44070168103e-07
3.408,0.000617981887997,0.302720403295,0.657643354429,0.814287593294,6.99490756872e-07,6.99490757315e-07
3.42,0.000599524871992,0.302723335436,0.657646499133,0.814290147525,6.57587342745e-07,6.57587342458e-07
3.432,0.000581618922385,0.302726169316,0.657649535091,0.814292613425,6.18198972846e-07,6.1819897308e-07
3.444,0.000564247597233,0.302728908217,0.657652466065,0.814294994049,5.81174398273e-07,5.81174398464e-07
3.456,0.000547394944399,0.302731555308,0.657655295691,0.814297292347,5.46371481724e-07,5.46371481523e-07
3.468,0.00053104548713,0.302734113658,0.657658027475,0.814299511166,5.13656649659e-07,5.13656648918e-07
3.48,0.000515184209923,0.302736586229,0.657660664803,0.814301653256,4.82904373433e-07,4.8290437412e-07
3.492,0.000499796544702,0.302738975889,0.657663210944,0.814303721271,4.53996691352e-07,4.53996691513e-07
3.504,0.000484868357708,0.302741285407,0.657665669054,0.814305717773,4.26822740485e-07,4.26822740472e-07
3.516,0.000470385936401,0.302743517462,0.657668042179,0.814307645236,4.01278336726e-07,4.01278336274e-07
3.528,0.000456335977037,0.302745674643,0.657670333259,0.814309506049,3.7726556773e-07,3.77265567496e-07
3.54,0.000442705572514,0.302747759453,0.657672545135,0.814311302516,3.54692417992e-07,3.54692417544e-07
3.552,0.000429482200467,0.302749774313,0.657674680545,0.814313036865,3.33472409186e-07,3.33472408894e-07
3.564,0.000416653712002,0.30275172156,0.657676742137,0.814314711243,3.13524269768e-07,3.13524269283e-07
3.576,0.000404208320407,0.302753603457,0.657678732465,0.814316327726,2.94771618004e-07,2.94771617504e-07
3.588,0.000392134590475,0.30275542219,0.657680653993,0.814317888316,2.7714266948e-07,2.77142668623e-07
3.6,0.000380421428033,0.302757179872,0.657682509103,0.814319394947,2.60569956556e-07,2.60569956837e-07
3.612,0.000369058069712,0.302758878545,0.657684300093,0.814320849486,2.44990074783e-07,2.44990074957e-07
3.624,0.00035803407325,0.302760520185,0.65768602918,0.814322253734,2.30343431218e-07,2.30343429988e-07
3.636,0.000347339307783,0.3027621067,0.657687698506,0.814323609432,2.16574013612e-07,2.16574013001e-07
3.648,0.000336963944561,0.302763639936,0.65768931014,0.814324918258,2.03629183071e-07,2.03629183152e-07
3.66,0.000326898448402,0.302765121676,0.657690866076,0.814326181835,1.91459464838e-07,1.91459465293e-07
3.672,0.00031713356789,0.302766553645,0.657692368241,0.814327401727,1.80018357554e-07,1.80018357889e-07
3.684,0.000307660328349,0.30276793751,0.657693818496,0.814328579446,1.69262155347e-07,1.69262155673e-07
3.696,0.0002984700223,0.302769274881,0.657695218636,0.814329716451,1.59149780077e-07,1.59149779606e-07
3.708,0.000289554202264,0.302770567316,0.657696570394,0.814330814151,1.49642618685e-07,1.49642619634e-07
