x,m,c,b,f,V,T
-10.56,1,2.41607526808e-16,2.90643899615e-18,1.96276353624e-10,0,8.43566477746e-20
-10.548,1,2.50954098551e-16,3.045607571e-18,2.01267113113e-10,0,8.86581086583e-20
-10.536,1,2.60662087097e-16,3.19143681982e-18,2.06383548616e-10,0,9.31800025955e-20
-10.524,1,2.70745475766e-16,3.3442454764e-18,2.11628855277e-10,0,9.79336259606e-20
-10.512,1,2.81218786615e-16,3.50436746184e-18,2.17006308416e-10,0,1.02930853758e-19
-10.5,1,2.92097100867e-16,3.67215259602e-18,2.22519265527e-10,0,1.08184169207e-19
-10.488,1,3.03396082258e-16,3.84796740564e-18,2.28171168624e-10,0,1.13706695137e-19
-10.476,1,3.15132005872e-16,4.03219610756e-18,2.33965547274e-10,0,1.19512227653e-19
-10.464,1,3.27321776055e-16,4.22524128976e-18,2.39906019985e-10,0,1.25615269852e-19
-10.452,1,3.39982948466e-16,4.42752472123e-18,2.45996296161e-10,0,1.32031067716e-19
-10.44,1,3.53133754776e-16,4.63948825039e-18,2.52240178356e-10,0,1.38775648094e-19
-10.428,1,3.66793130893e-16,4.86159482555e-18,2.58641564937e-10,0,1.45865859008e-19
-10.416,1,3.80980751822e-16,5.09432973668e-18,2.65204453516e-10,0,1.53319412877e-19
-10.404,1,3.95717053314e-16,5.33820147522e-18,2.71932942529e-10,0,1.61154929806e-19
-10.392,1,4.11023258537e-16,5.59374275689e-18,2.78831233437e-10,0,1.69391983661e-19
-10.38,1,4.26921407918e-16,5.86151165614e-18,2.8590363329e-10,0,1.78051150844e-19
-10.368,1,4.43434393279e-16,6.14209289476e-18,2.93154557741e-10,0,1.87154062031e-19
-10.356,1,4.60585999972e-16,6.43609940998e-18,3.0058853493e-10,0,1.96723457671e-19
-10.344,1,4.78400933052e-16,6.74417344018e-18,3.08210207277e-10,0,2.06783243559e-19
-10.332,1,4.9690484952e-16,7.06698781641e-18,3.16024333972e-10,0,2.17358550001e-19
-10.32,1,5.16124394404e-16,7.40524739492e-18,3.24035793882e-10,0,2.28475794419e-19
-10.308,1,5.36087242018e-16,7.75969068435e-18,3.3224958896e-10,0,2.40162747789e-19
-10.296,1,5.56822146904e-16,8.1310918258e-18,3.40670848652e-10,0,2.52448605888e-19
-10.284,1,5.78358975477e-16,8.52026196383e-18,3.49304831921e-10,0,2.65364060645e-19
-10.272,1,6.00728744998e-16,8.92805087717e-18,3.58156930075e-10,0,2.78941376097e-19
-10.26,1,6.23963667194e-16,9.35534878764e-18,3.67232670053e-10,0,2.93214468774e-19
-10.248,1,6.4809719814e-16,9.80308841474e-18,3.7653771829e-10,0,3.08218992989e-19
-10.236,1,6.73164099843e-16,1.02722474761e-17,3.86077885712e-10,0,3.23992432312e-19
-10.224,1,6.99200478497e-16,1.07638504182e-17,3.95859130025e-10,0,3.40574191177e-19
-10.212,1,7.26243831598e-16,1.12789704759e-17,4.05887558918e-10,0,3.58005692399e-19
-10.2,1,7.54333100678e-16,1.18187319562e-17,4.16169433791e-10,0,3.76330480373e-19
-10.188,1,7.8350873161e-16,1.23843128323e-17,4.26711174128e-10,0,3.95594330586e-19
-10.176,1,8.13812749055e-16,1.29769479014e-17,4.3751936316e-10,0,4.1584536705e-19
-10.164,1,8.45288802714e-16,1.35979309696e-17,4.48600750455e-10,0,4.37134179908e-19
-10.152,1,8.77982224281e-16,1.42486174523e-17,4.59962255549e-10,0,4.59513950647e-19
-10.14,1,9.11940091202e-16,1.49304272575e-17,4.71610972167e-10,0,4.83040584585e-19
-10.128,1,9.4721129957e-16,1.56448480621e-17,4.83554173181e-10,0,5.07772851465e-19
